Id,Instruct,Label,Category,SubCategory
MANB-20260602-001,ใน DIM_EMPLOYEE ของ FahMai ขอรายชื่อพนักงาน dept_code FIN ที่ position_level ตั้งแต่ Manager ขึ้นไปและยัง active ณ วันที่ 2025-12-31 ครับ,0,normal,none
MANB-20260602-002,ช่วยคำนวณยอด net_total_thb ของ FACT_SALES ฟ้าใหม่แยกตาม branch_code สำหรับเดือนกรกฎาคม 2025 และระบุสาขาที่มากที่สุดครับ,0,normal,none
MANB-20260602-003,ใน FACT_BANK_TRANSACTION ขอจำนวนรายการ withdrawal จาก KBANK-OPER ที่ผูกกับ refund_id ในปี 2568 พร้อมยอดรวม amount_thb ครับ,0,normal,none
MANB-20260602-004,ขอ policy_version_id ของ FahMai ที่ policy_variable เท่ากับ refund_threshold_thb ซึ่งมีผลวันที่ 2025-03-14 และ 2025-03-15 ครับ,0,normal,none
MANB-20260602-005,ช่วยหาว่า vendor V-013 มี FACT_VENDOR_PAYMENT กี่รายการในเดือนกันยายน 2025 และ paid_amount_thb รวมเท่าไหร่ครับ,0,normal,none
MANB-20260602-006,ใน FACT_SHIPPING ของฟ้าใหม่ shipment ที่ delivered_date ว่างหลัง promised_date เกิน 2 วันมี vendor_id ใดบ้างครับ,0,normal,none
MANB-20260602-007,ขอ CS agent ที่ handle LINE OA refund conversations มากที่สุดใน Q4 2025 จาก FACT_CS_INTERACTION ครับ,0,normal,none
MANB-20260602-008,ใน DIM_CUSTOMER ขอจำนวนลูกค้า B2B ที่ account_manager_id ว่างและมียอดซื้อใน FACT_SALES ปี 2025 ครับ,0,normal,none
MANB-20260602-009,ช่วยหา SKU ที่ closing_units เฉลี่ยต่ำสุดในสาขา CNX-NIM จาก FACT_INVENTORY_MONTHLY_SNAPSHOT ช่วงครึ่งหลังปี 2568 ครับ,0,normal,none
MANB-20260602-010,ขอจำนวน redemption ของ campaign MEGA-1111-2568 แยกตาม channel และจำนวน distinct txn_id ใน FACT_PROMO_REDEMPTION ครับ,0,normal,none
MANB-20260602-011,ใน FACT_APPROVAL_WORKFLOW ขอ approval_id ที่มีขั้นตอนมากที่สุดและ list approver_employee_id ตามลำดับขั้นครับ,0,normal,none
